ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
ALU,Altium Limited,13/8/19,32.81,33.22,32.38,33.16,"474,323.00","4,327.76","130,511,522.00"
ALU,Altium Limited,14/8/19,33.79,34.13,33.15,33.73,"712,816.00","4,402.15","130,511,522.00"
ALU,Altium Limited,15/8/19,32.64,32.72,31.95,32.12,"868,085.00","4,192.03","130,511,522.00"
ALU,Altium Limited,16/8/19,31.95,32.44,31.62,32.08,"750,087.00","4,186.81","130,511,522.00"
ALU,Altium Limited,19/8/19,32.37,33.67,32.31,33.67,"687,567.00","4,394.32","130,511,522.00"
ALU,Altium Limited,20/8/19,35.37,36,33.12,35.86,"1,756,407.00","4,680.14","130,511,522.00"
ALU,Altium Limited,21/8/19,35.42,36,34.6,35.9,"1,166,194.00","4,685.36","130,511,522.00"
ALU,Altium Limited,22/8/19,36.24,36.49,35.83,36.1,"786,677.00","4,711.47","130,511,522.00"
ALU,Altium Limited,23/8/19,35.89,36.17,35.16,36.17,"594,587.00","4,720.60","130,511,522.00"
ALU,Altium Limited,26/8/19,34.76,36.06,34.43,36,"665,775.00","4,698.41","130,511,522.00"
ALU,Altium Limited,27/8/19,36.21,36.91,36.02,36.88,"707,910.00","4,830.02","130,965,775.00"
ALU,Altium Limited,28/8/19,36.9,37.93,36.5,37.61,"723,562.00","4,925.62","130,965,775.00"
ALU,Altium Limited,29/8/19,37.56,37.62,36.17,36.57,"2,000,621.00","4,789.42","130,965,775.00"
ALU,Altium Limited,30/8/19,36.99,37.37,36.61,36.77,"600,801.00","4,815.61","130,965,775.00"
ALU,Altium Limited,2/9/19,36.61,37.08,36.38,36.81,"345,256.00","4,820.85","130,965,775.00"
ALU,Altium Limited,3/9/19,36.5,37.02,36.21,36.83,"316,328.00","4,823.47","130,965,775.00"
ALU,Altium Limited,4/9/19,36.41,36.83,35.92,36.74,"552,270.00","4,811.68","130,965,775.00"
ALU,Altium Limited,5/9/19,36.61,36.95,36.29,36.74,"559,820.00","4,811.68","130,965,775.00"
ALU,Altium Limited,6/9/19,37.16,38.19,36.89,37.04,"637,597.00","4,850.97","130,965,775.00"
ALU,Altium Limited,9/9/19,37.1,38.1,36.83,37.97,"551,227.00","4,972.77","130,965,775.00"
ALU,Altium Limited,10/9/19,37.56,37.56,36.34,36.73,"661,836.00","4,810.37","130,965,775.00"
ALU,Altium Limited,11/9/19,36.3,36.35,35.4,36.24,"508,984.00","4,746.20","130,965,775.00"
ALU,Altium Limited,12/9/19,36.24,36.7,35.52,35.72,"630,004.00","4,678.10","130,965,775.00"
ALU,Altium Limited,13/9/19,35.25,35.94,34.84,35.09,"567,656.00","4,595.59","130,965,775.00"
ALU,Altium Limited,16/9/19,34.5,35.21,33.98,34.13,"765,824.00","4,469.86","130,965,775.00"
ALU,Altium Limited,17/9/19,33.47,34.11,33.05,34.08,"607,541.00","4,463.31","130,965,775.00"
ALU,Altium Limited,18/9/19,34.13,34.7,33.635,33.92,"809,219.00","4,442.36","130,965,775.00"
ALU,Altium Limited,19/9/19,34.48,35.44,34.48,34.89,"877,459.00","4,569.40","130,965,775.00"
ALU,Altium Limited,20/9/19,35.21,35.42,34.11,34.58,"2,286,183.00","4,528.80","130,965,775.00"
ALU,Altium Limited,23/9/19,34.56,34.72,34.02,34.62,"489,862.00","4,534.04","130,965,775.00"
ALU,Altium Limited,24/9/19,34.71,34.94,34.23,34.31,"541,827.00","4,493.44","130,965,775.00"
ALU,Altium Limited,25/9/19,33.99,34.19,33.51,33.71,"526,012.00","4,414.86","130,965,775.00"
ALU,Altium Limited,26/9/19,33.9,34.39,33.72,34.11,"566,426.00","4,467.24","130,965,775.00"
ALU,Altium Limited,27/9/19,34.25,34.72,33.81,34.16,"377,595.00","4,473.79","130,965,775.00"
ALU,Altium Limited,30/9/19,33.94,34.15,33.32,33.35,"507,061.00","4,367.71","130,965,775.00"
ALU,Altium Limited,1/10/19,33.5,34.14,33.16,34.12,"797,824.00","4,468.55","130,965,775.00"
ALU,Altium Limited,2/10/19,33.65,34.19,32.68,32.75,"749,914.00","4,289.13","130,965,775.00"
ALU,Altium Limited,3/10/19,31.99,32.17,31.57,32,"928,690.00","4,190.90","130,965,775.00"
ALU,Altium Limited,4/10/19,32.31,32.97,32.28,32.34,"495,952.00","4,235.43","130,965,775.00"
ALU,Altium Limited,7/10/19,32.4,32.65,32.04,32.37,"402,018.00","4,239.36","130,965,775.00"
ALU,Altium Limited,8/10/19,32.67,32.8,32.2,32.32,"482,938.00","4,232.81","130,965,775.00"
ALU,Altium Limited,9/10/19,32.03,32.49,31.63,32.33,"522,573.00","4,234.12","130,965,775.00"
