Date, Open, High, Low, Close
06/12/20, 5920.1, 5920.1, 5756.5, 5847.8
06/11/20, 6123.4, 6123.4, 5949.6, 5960.6
06/10/20, 6131.3, 6182.3, 6089.7, 6148.4
06/09/20, 6037.6, 6198.6, 6037.6, 6144.9
06/05/20, 5989.5, 6017.8, 5963.0, 5998.7
06/04/20, 5962.0, 6040.2, 5943.9, 5991.8
06/03/20, 5854.7, 5943.7, 5854.0, 5941.6
06/02/20, 5818.2, 5859.0, 5800.0, 5835.1
06/01/20, 5755.5, 5819.2, 5705.4, 5819.2
05/29/20, 5843.1, 5844.1, 5755.7, 5755.7
05/28/20, 5798.9, 5922.0, 5798.3, 5851.1
05/27/20, 5775.3, 5835.9, 5713.9, 5775.0
05/26/20, 5619.7, 5780.0, 5619.7, 5780.0
05/25/20, 5513.7, 5615.6, 5512.4, 5615.6
05/22/20, 5555.3, 5569.7, 5494.8, 5497.0
05/21/20, 5583.2, 5610.8, 5545.2, 5550.4
05/20/20, 5544.3, 5587.1, 5507.0, 5573.0
05/19/20, 5501.3, 5606.8, 5501.0, 5559.5
05/18/20, 5424.7, 5486.3, 5424.0, 5460.5
05/15/20, 5342.3, 5412.4, 5342.3, 5404.8
05/14/20, 5421.7, 5421.7, 5328.7, 5328.7
05/13/20, 5390.0, 5421.9, 5301.9, 5421.9
05/12/20, 5459.4, 5461.4, 5374.0, 5403.0
05/11/20, 5405.9, 5489.5, 5405.8, 5461.2
05/08/20, 5378.7, 5428.0, 5378.5, 5391.1
05/07/20, 5385.6, 5388.3, 5347.3, 5364.2
05/06/20, 5403.9, 5408.6, 5345.0, 5384.6
05/05/20, 5331.0, 5407.1, 5329.6, 5407.1
05/04/20, 5246.6, 5328.4, 5169.6, 5319.8
05/01/20, 5491.3, 5491.3, 5245.9, 5245.9
04/30/20, 5414.2, 5549.1, 5411.4, 5522.4
04/29/20, 5325.0, 5393.4, 5312.7, 5393.4
04/28/20, 5325.4, 5373.8, 5272.8, 5313.1
04/27/20, 5239.0, 5329.4, 5214.8, 5321.4
04/24/20, 5216.7, 5263.8, 5207.5, 5242.6
04/23/20, 5245.4, 5282.6, 5181.7, 5217.1
04/22/20, 5203.4, 5251.7, 5100.7, 5221.2
04/21/20, 5345.8, 5347.9, 5214.5, 5221.3
04/20/20, 5486.3, 5490.6, 5353.0, 5353.0
04/17/20, 5433.5, 5563.6, 5433.5, 5487.5
04/16/20, 5433.1, 5437.2, 5345.0, 5416.3
04/15/20, 5489.0, 5533.0, 5416.4, 5466.7
04/14/20, 5387.4, 5490.7, 5360.0, 5488.1
