ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
SCG,Scentre Group,13/8/19,4,4.03,3.97,3.98,"9,364,441.00","21,161.65","5,316,997,206.00"
SCG,Scentre Group,14/8/19,3.92,3.93,3.83,3.87,"10,962,434.00","20,576.78","5,316,997,206.00"
SCG,Scentre Group,15/8/19,3.83,3.84,3.77,3.8,"11,626,770.00","20,204.59","5,316,997,206.00"
SCG,Scentre Group,16/8/19,3.81,3.83,3.77,3.79,"12,696,578.00","20,151.42","5,316,997,206.00"
SCG,Scentre Group,19/8/19,3.88,3.89,3.83,3.83,"9,942,337.00","20,364.10","5,316,997,206.00"
SCG,Scentre Group,20/8/19,3.85,3.9,3.845,3.9,"10,121,822.00","20,736.29","5,316,997,206.00"
SCG,Scentre Group,21/8/19,3.9,3.9,3.83,3.85,"9,508,678.00","20,470.44","5,316,997,206.00"
SCG,Scentre Group,22/8/19,3.88,3.91,3.79,3.9,"13,005,911.00","20,736.29","5,316,997,206.00"
SCG,Scentre Group,23/8/19,3.97,4,3.92,3.94,"10,897,216.00","20,948.97","5,316,997,206.00"
SCG,Scentre Group,26/8/19,3.9,3.93,3.89,3.91,"15,182,533.00","20,789.46","5,316,997,206.00"
SCG,Scentre Group,27/8/19,3.94,3.96,3.9,3.94,"16,890,384.00","20,948.97","5,316,997,206.00"
SCG,Scentre Group,28/8/19,3.96,3.995,3.94,3.96,"13,224,616.00","21,055.31","5,316,997,206.00"
SCG,Scentre Group,29/8/19,3.98,4.02,3.94,4,"10,850,391.00","21,267.99","5,316,997,206.00"
SCG,Scentre Group,30/8/19,4.01,4.08,3.99,4.04,"16,473,305.00","21,480.67","5,316,997,206.00"
SCG,Scentre Group,2/9/19,4.02,4.04,3.95,3.97,"7,907,340.00","21,108.48","5,316,997,206.00"
SCG,Scentre Group,3/9/19,3.97,4.005,3.93,3.98,"7,538,982.00","21,161.65","5,316,997,206.00"
SCG,Scentre Group,4/9/19,3.95,3.99,3.945,3.97,"8,310,545.00","21,108.48","5,316,997,206.00"
SCG,Scentre Group,5/9/19,3.99,4.01,3.95,3.98,"10,890,104.00","21,161.65","5,316,997,206.00"
SCG,Scentre Group,6/9/19,3.98,3.99,3.93,3.98,"9,973,940.00","21,161.65","5,316,997,206.00"
SCG,Scentre Group,9/9/19,4.01,4.02,3.97,3.98,"5,505,278.00","21,161.65","5,316,997,206.00"
SCG,Scentre Group,10/9/19,3.96,3.98,3.935,3.96,"11,798,144.00","21,055.31","5,316,997,206.00"
SCG,Scentre Group,11/9/19,3.96,4.01,3.93,3.98,"27,416,727.00","21,161.65","5,316,997,206.00"
SCG,Scentre Group,12/9/19,3.98,4.04,3.98,4.04,"14,966,563.00","21,480.67","5,316,997,206.00"
SCG,Scentre Group,13/9/19,4.06,4.06,3.98,4,"17,608,672.00","21,267.99","5,316,997,206.00"
SCG,Scentre Group,16/9/19,3.95,3.995,3.94,3.99,"16,450,678.00","21,214.82","5,316,997,206.00"
SCG,Scentre Group,17/9/19,4,4.02,3.97,4,"11,280,798.00","21,267.99","5,316,997,206.00"
SCG,Scentre Group,18/9/19,4.01,4.01,3.96,4,"13,961,913.00","21,267.99","5,316,997,206.00"
SCG,Scentre Group,19/9/19,3.96,3.99,3.95,3.95,"33,300,480.00","21,002.14","5,316,997,206.00"
SCG,Scentre Group,20/9/19,3.93,3.98,3.93,3.94,"36,477,712.00","20,948.97","5,316,997,206.00"
SCG,Scentre Group,23/9/19,3.96,3.99,3.94,3.94,"7,524,659.00","20,948.97","5,316,997,206.00"
SCG,Scentre Group,24/9/19,3.93,3.96,3.92,3.93,"19,111,214.00","20,880.16","5,313,017,148.00"
SCG,Scentre Group,25/9/19,3.94,4,3.94,3.98,"14,909,693.00","21,145.81","5,313,017,148.00"
SCG,Scentre Group,26/9/19,3.97,3.975,3.92,3.93,"12,925,940.00","20,880.16","5,313,017,148.00"
SCG,Scentre Group,27/9/19,3.94,3.95,3.91,3.94,"8,513,152.00","20,933.29","5,313,017,148.00"
SCG,Scentre Group,30/9/19,3.92,3.96,3.9,3.93,"12,386,962.00","20,880.16","5,313,017,148.00"
SCG,Scentre Group,1/10/19,3.93,3.97,3.915,3.95,"19,184,217.00","20,986.42","5,313,017,148.00"
SCG,Scentre Group,2/10/19,3.95,3.97,3.92,3.94,"13,297,247.00","20,933.29","5,313,017,148.00"
SCG,Scentre Group,3/10/19,3.88,3.92,3.85,3.92,"13,715,508.00","20,827.03","5,313,017,148.00"
SCG,Scentre Group,4/10/19,3.91,3.93,3.88,3.93,"7,985,955.00","20,880.16","5,313,017,148.00"
SCG,Scentre Group,7/10/19,3.93,3.95,3.89,3.93,"5,051,204.00","20,880.16","5,313,017,148.00"
SCG,Scentre Group,8/10/19,3.95,3.98,3.93,3.95,"5,644,441.00","20,986.42","5,313,017,148.00"
SCG,Scentre Group,9/10/19,3.94,3.98,3.93,3.97,"6,423,678.00","21,092.68","5,313,017,148.00"
SCG,Scentre Group,10/10/19,3.96,3.98,3.93,3.96,"6,020,268.00","21,039.55","5,313,017,148.00"
SCG,Scentre Group,11/10/19,3.97,3.97,3.945,3.97,"5,287,766.00","21,092.68","5,313,017,148.00"
SCG,Scentre Group,14/10/19,3.96,3.98,3.94,3.96,"3,743,487.00","21,039.55","5,313,017,148.00"
SCG,Scentre Group,15/10/19,3.96,3.98,3.95,3.98,"5,439,891.00","21,145.81","5,313,017,148.00"
SCG,Scentre Group,16/10/19,3.99,4.025,3.98,4.01,"10,528,192.00","21,305.20","5,313,017,148.00"
SCG,Scentre Group,17/10/19,3.95,3.97,3.86,3.87,"248,837,038.00","20,561.38","5,313,017,148.00"
SCG,Scentre Group,18/10/19,3.85,3.86,3.8,3.85,"43,475,146.00","20,455.12","5,313,017,148.00"
SCG,Scentre Group,21/10/19,3.86,3.88,3.825,3.84,"24,185,413.00","20,401.99","5,313,017,148.00"
SCG,Scentre Group,22/10/19,3.85,3.88,3.83,3.87,"23,287,140.00","20,506.38","5,298,806,873.00"
SCG,Scentre Group,23/10/19,3.86,3.91,3.84,3.91,"25,586,562.00","20,718.33","5,298,806,873.00"
SCG,Scentre Group,24/10/19,3.92,3.94,3.895,3.9,"31,018,773.00","20,665.35","5,298,806,873.00"
SCG,Scentre Group,25/10/19,3.91,3.92,3.88,3.9,"16,788,534.00","20,665.35","5,298,806,873.00"
SCG,Scentre Group,28/10/19,3.9,3.9,3.87,3.88,"12,563,725.00","20,559.37","5,298,806,873.00"
SCG,Scentre Group,29/10/19,3.89,3.895,3.85,3.86,"15,409,271.00","20,453.39","5,298,806,873.00"
SCG,Scentre Group,30/10/19,3.86,3.89,3.84,3.85,"17,276,253.00","20,400.41","5,298,806,873.00"
