ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
SCP,Shopping Centres Australasia Property Group,13/8/19,2.57,2.59,2.56,2.58,"2,670,545.00","2,390.45","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,14/8/19,2.57,2.575,2.545,2.56,"2,234,961.00","2,371.92","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,15/8/19,2.56,2.58,2.54,2.56,"2,434,354.00","2,371.92","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,16/8/19,2.57,2.58,2.53,2.54,"1,885,553.00","2,353.38","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,19/8/19,2.56,2.56,2.53,2.54,"1,509,913.00","2,353.38","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,20/8/19,2.53,2.59,2.52,2.59,"3,570,466.00","2,399.71","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,21/8/19,2.58,2.59,2.55,2.56,"2,200,914.00","2,371.92","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,22/8/19,2.57,2.57,2.53,2.55,"1,066,148.00","2,362.65","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,23/8/19,2.56,2.58,2.55,2.58,"1,758,322.00","2,390.45","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,26/8/19,2.55,2.58,2.55,2.58,"2,620,163.00","2,390.45","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,27/8/19,2.57,2.59,2.54,2.58,"3,686,312.00","2,390.45","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,28/8/19,2.58,2.61,2.57,2.59,"2,758,633.00","2,399.71","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,29/8/19,2.59,2.61,2.57,2.6,"1,626,455.00","2,408.98","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,30/8/19,2.61,2.655,2.59,2.63,"2,771,773.00","2,436.77","926,529,486.00"
SCP,Shopping Centres Australasia Property Group,2/9/19,2.62,2.64,2.595,2.6,"2,651,431.00","2,422.63","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,3/9/19,2.59,2.605,2.57,2.58,"2,323,887.00","2,404.00","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,4/9/19,2.58,2.59,2.555,2.57,"2,076,200.00","2,394.68","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,5/9/19,2.58,2.59,2.54,2.56,"1,857,399.00","2,385.36","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,6/9/19,2.57,2.59,2.54,2.58,"3,143,724.00","2,404.00","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,9/9/19,2.59,2.6,2.56,2.57,"1,513,788.00","2,394.68","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,10/9/19,2.57,2.57,2.54,2.55,"1,765,622.00","2,376.05","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,11/9/19,2.55,2.57,2.52,2.56,"1,516,813.00","2,385.36","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,12/9/19,2.57,2.61,2.565,2.61,"2,149,844.00","2,431.95","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,13/9/19,2.62,2.63,2.6,2.61,"7,494,161.00","2,431.95","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,16/9/19,2.59,2.6,2.57,2.58,"1,831,557.00","2,404.00","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,17/9/19,2.59,2.6,2.57,2.58,"1,341,048.00","2,404.00","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,18/9/19,2.58,2.6,2.57,2.58,"1,982,779.00","2,404.00","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,19/9/19,2.58,2.61,2.58,2.58,"4,062,228.00","2,404.00","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,20/9/19,2.59,2.61,2.565,2.57,"5,187,407.00","2,394.68","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,23/9/19,2.59,2.62,2.585,2.61,"1,773,543.00","2,431.95","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,24/9/19,2.6,2.63,2.6,2.63,"1,666,387.00","2,450.59","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,25/9/19,2.62,2.66,2.62,2.65,"1,960,788.00","2,469.22","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,26/9/19,2.64,2.65,2.61,2.63,"1,965,918.00","2,450.59","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,27/9/19,2.65,2.655,2.62,2.63,"827,255.00","2,450.59","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,30/9/19,2.62,2.64,2.61,2.61,"1,332,536.00","2,431.95","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,1/10/19,2.63,2.66,2.62,2.66,"3,103,157.00","2,478.54","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,2/10/19,2.66,2.685,2.64,2.67,"2,160,953.00","2,487.86","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,3/10/19,2.63,2.65,2.615,2.63,"2,347,653.00","2,450.59","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,4/10/19,2.62,2.635,2.61,2.62,"1,530,982.00","2,441.27","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,7/10/19,2.62,2.66,2.62,2.66,"1,061,873.00","2,478.54","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,8/10/19,2.66,2.68,2.65,2.66,"1,189,702.00","2,478.54","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,9/10/19,2.64,2.66,2.635,2.66,"639,895.00","2,478.54","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,10/10/19,2.64,2.67,2.635,2.66,"1,050,251.00","2,478.54","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,11/10/19,2.66,2.675,2.64,2.67,"1,520,226.00","2,487.86","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,14/10/19,2.68,2.71,2.66,2.7,"2,478,488.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,15/10/19,2.69,2.71,2.68,2.7,"1,221,789.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,16/10/19,2.69,2.73,2.68,2.72,"1,693,511.00","2,534.45","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,17/10/19,2.72,2.73,2.71,2.71,"1,572,780.00","2,525.13","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,18/10/19,2.7,2.71,2.67,2.68,"1,956,884.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,21/10/19,2.69,2.75,2.69,2.74,"1,542,079.00","2,553.08","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,22/10/19,2.74,2.76,2.72,2.75,"1,420,270.00","2,562.40","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,23/10/19,2.74,2.75,2.73,2.74,"1,351,376.00","2,553.08","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,24/10/19,2.74,2.755,2.725,2.74,"1,003,426.00","2,553.08","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,25/10/19,2.75,2.77,2.74,2.76,"1,621,540.00","2,571.72","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,28/10/19,2.76,2.77,2.74,2.75,"785,295.00","2,562.40","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,29/10/19,2.74,2.755,2.72,2.73,"1,482,169.00","2,543.77","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,30/10/19,2.7,2.7,2.64,2.65,"3,147,278.00","2,469.22","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,31/10/19,2.67,2.71,2.66,2.69,"3,254,297.00","2,506.49","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,1/11/19,2.68,2.71,2.68,2.7,"1,045,541.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,4/11/19,2.72,2.73,2.69,2.71,"1,035,504.00","2,525.13","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,5/11/19,2.72,2.73,2.68,2.68,"1,305,576.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,6/11/19,2.7,2.71,2.67,2.67,"1,223,085.00","2,487.86","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,7/11/19,2.67,2.71,2.67,2.7,"1,345,638.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,8/11/19,2.69,2.695,2.67,2.68,"1,142,494.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,11/11/19,2.69,2.71,2.69,2.71,"1,292,033.00","2,525.13","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,12/11/19,2.71,2.72,2.68,2.7,"2,044,988.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,13/11/19,2.7,2.71,2.65,2.65,"1,236,800.00","2,469.22","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,14/11/19,2.67,2.69,2.67,2.68,"733,156.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,15/11/19,2.71,2.76,2.71,2.73,"1,535,441.00","2,543.77","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,18/11/19,2.73,2.74,2.7,2.71,"1,008,995.00","2,525.13","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,19/11/19,2.71,2.75,2.705,2.75,"1,351,802.00","2,562.40","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,20/11/19,2.76,2.76,2.72,2.72,"1,565,672.00","2,534.45","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,21/11/19,2.7,2.71,2.67,2.69,"5,618,843.00","2,506.49","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,22/11/19,2.69,2.71,2.67,2.68,"1,141,342.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,25/11/19,2.68,2.7,2.68,2.68,"2,382,612.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,26/11/19,2.69,2.7,2.65,2.65,"5,049,131.00","2,469.22","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,27/11/19,2.66,2.7,2.65,2.69,"1,798,203.00","2,506.49","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,28/11/19,2.69,2.715,2.68,2.7,"2,469,281.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,29/11/19,2.71,2.73,2.705,2.72,"2,169,264.00","2,534.45","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,2/12/19,2.73,2.74,2.72,2.72,"971,553.00","2,534.45","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,3/12/19,2.69,2.69,2.63,2.63,"3,169,585.00","2,450.59","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,4/12/19,2.62,2.64,2.59,2.62,"1,911,304.00","2,441.27","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,5/12/19,2.62,2.65,2.61,2.64,"3,201,282.00","2,459.91","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,6/12/19,2.64,2.69,2.635,2.67,"2,610,139.00","2,487.86","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,9/12/19,2.68,2.69,2.65,2.67,"1,167,877.00","2,487.86","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,10/12/19,2.65,2.685,2.65,2.67,"2,258,588.00","2,487.86","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,11/12/19,2.67,2.69,2.655,2.69,"1,667,575.00","2,506.49","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,12/12/19,2.68,2.7,2.68,2.68,"5,361,873.00","2,497.18","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,13/12/19,2.68,2.69,2.65,2.65,"1,953,904.00","2,469.22","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,16/12/19,2.68,2.71,2.66,2.7,"3,293,916.00","2,515.81","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,17/12/19,2.72,2.73,2.7,2.71,"2,224,279.00","2,525.13","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,18/12/19,2.69,2.715,2.69,2.69,"1,828,612.00","2,506.49","931,782,523.00"
SCP,Shopping Centres Australasia Property Group,19/12/19,2.71,2.75,2.69,2.73,"2,878,181.00","2,543.77","931,782,523.00"
