ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
TNE,Technology One Limited,13/8/19,7.15,7.31,7.14,7.27,"821,912.00","2,310.61","317,827,581.00"
TNE,Technology One Limited,14/8/19,7.41,7.5,7.12,7.16,"1,101,434.00","2,275.65","317,827,581.00"
TNE,Technology One Limited,15/8/19,7,7.13,6.93,6.93,"1,029,460.00","2,202.55","317,827,581.00"
TNE,Technology One Limited,16/8/19,6.93,7.2,6.93,7.1,"964,928.00","2,256.58","317,827,581.00"
TNE,Technology One Limited,19/8/19,7.14,7.23,7.08,7.22,"499,435.00","2,294.72","317,827,581.00"
TNE,Technology One Limited,20/8/19,7.24,7.485,7.24,7.44,"990,618.00","2,364.64","317,827,581.00"
TNE,Technology One Limited,21/8/19,7.47,7.5,7.21,7.37,"958,417.00","2,342.39","317,827,581.00"
TNE,Technology One Limited,22/8/19,7.49,7.54,7.4,7.43,"669,735.00","2,361.46","317,827,581.00"
TNE,Technology One Limited,23/8/19,7.41,7.54,7.37,7.47,"725,397.00","2,374.17","317,827,581.00"
TNE,Technology One Limited,26/8/19,7.32,7.32,7.16,7.23,"940,543.00","2,297.89","317,827,581.00"
TNE,Technology One Limited,27/8/19,7.47,7.54,7.385,7.46,"684,740.00","2,370.99","317,827,581.00"
TNE,Technology One Limited,28/8/19,7.48,7.735,7.43,7.69,"1,113,675.00","2,444.09","317,827,581.00"
TNE,Technology One Limited,29/8/19,7.64,7.64,7.41,7.53,"595,424.00","2,393.24","317,827,581.00"
TNE,Technology One Limited,30/8/19,7.68,7.71,7.56,7.58,"889,386.00","2,409.13","317,827,581.00"
TNE,Technology One Limited,2/9/19,7.53,7.585,7.35,7.35,"673,360.00","2,336.03","317,827,581.00"
TNE,Technology One Limited,3/9/19,7.36,7.49,7.36,7.45,"453,358.00","2,367.82","317,827,581.00"
TNE,Technology One Limited,4/9/19,7.39,7.61,7.39,7.58,"724,108.00","2,409.13","317,827,581.00"
TNE,Technology One Limited,5/9/19,7.64,7.68,7.5,7.66,"993,845.00","2,434.56","317,827,581.00"
TNE,Technology One Limited,6/9/19,7.71,7.835,7.7,7.76,"578,847.00","2,466.34","317,827,581.00"
TNE,Technology One Limited,9/9/19,7.77,7.77,7.64,7.66,"382,104.00","2,434.56","317,827,581.00"
TNE,Technology One Limited,10/9/19,7.57,7.61,7.345,7.37,"637,135.00","2,342.39","317,827,581.00"
TNE,Technology One Limited,11/9/19,7.36,7.4,7.06,7.1,"1,321,653.00","2,256.58","317,827,581.00"
TNE,Technology One Limited,12/9/19,7.21,7.32,7.05,7.07,"897,318.00","2,247.04","317,827,581.00"
TNE,Technology One Limited,13/9/19,7.29,7.4,7.07,7.08,"940,008.00","2,250.22","317,827,581.00"
TNE,Technology One Limited,16/9/19,7.04,7.07,6.9,6.92,"1,006,643.00","2,199.37","317,827,581.00"
TNE,Technology One Limited,17/9/19,6.98,7.2,6.89,7.18,"775,894.00","2,282.00","317,827,581.00"
TNE,Technology One Limited,18/9/19,7.23,7.41,7.22,7.27,"751,092.00","2,310.61","317,827,581.00"
TNE,Technology One Limited,19/9/19,7.38,7.45,7.3,7.36,"1,225,993.00","2,339.21","317,827,581.00"
