ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
VCX,Vicinity Centres,13/8/19,2.52,2.55,2.51,2.53,"7,808,634.00","9,542.73","3,771,831,202.00"
VCX,Vicinity Centres,14/8/19,2.53,2.53,2.46,2.48,"12,374,476.00","9,354.14","3,771,831,202.00"
VCX,Vicinity Centres,15/8/19,2.45,2.47,2.42,2.43,"9,961,110.00","9,165.55","3,771,831,202.00"
VCX,Vicinity Centres,16/8/19,2.45,2.46,2.43,2.44,"8,475,325.00","9,203.27","3,771,831,202.00"
VCX,Vicinity Centres,19/8/19,2.49,2.49,2.45,2.47,"9,648,496.00","9,316.42","3,771,831,202.00"
VCX,Vicinity Centres,20/8/19,2.49,2.52,2.48,2.52,"7,933,271.00","9,505.01","3,771,831,202.00"
VCX,Vicinity Centres,21/8/19,2.51,2.52,2.445,2.46,"10,336,254.00","9,278.70","3,771,831,202.00"
VCX,Vicinity Centres,22/8/19,2.48,2.48,2.45,2.46,"7,310,468.00","9,278.70","3,771,831,202.00"
VCX,Vicinity Centres,23/8/19,2.49,2.52,2.48,2.51,"7,500,667.00","9,467.30","3,771,831,202.00"
VCX,Vicinity Centres,26/8/19,2.5,2.51,2.48,2.49,"6,712,220.00","9,391.86","3,771,831,202.00"
VCX,Vicinity Centres,27/8/19,2.49,2.515,2.48,2.5,"13,767,893.00","9,429.58","3,771,831,202.00"
VCX,Vicinity Centres,28/8/19,2.5,2.55,2.495,2.54,"12,569,496.00","9,580.45","3,771,831,202.00"
VCX,Vicinity Centres,29/8/19,2.54,2.57,2.52,2.57,"10,466,130.00","9,693.61","3,771,831,202.00"
VCX,Vicinity Centres,30/8/19,2.57,2.6,2.55,2.59,"15,274,389.00","9,769.04","3,771,831,202.00"
VCX,Vicinity Centres,2/9/19,2.57,2.6,2.56,2.59,"8,186,690.00","9,769.04","3,771,831,202.00"
VCX,Vicinity Centres,3/9/19,2.57,2.58,2.54,2.57,"8,012,780.00","9,693.61","3,771,831,202.00"
VCX,Vicinity Centres,4/9/19,2.56,2.58,2.54,2.55,"8,263,990.00","9,618.17","3,771,831,202.00"
VCX,Vicinity Centres,5/9/19,2.55,2.59,2.54,2.58,"9,165,483.00","9,731.32","3,771,831,202.00"
VCX,Vicinity Centres,6/9/19,2.58,2.59,2.54,2.59,"6,638,930.00","9,769.04","3,771,831,202.00"
VCX,Vicinity Centres,9/9/19,2.6,2.61,2.575,2.59,"8,589,231.00","9,769.04","3,771,831,202.00"
VCX,Vicinity Centres,10/9/19,2.55,2.585,2.54,2.57,"11,816,079.00","9,693.61","3,771,831,202.00"
VCX,Vicinity Centres,11/9/19,2.56,2.595,2.54,2.58,"8,481,366.00","9,731.32","3,771,831,202.00"
VCX,Vicinity Centres,12/9/19,2.6,2.63,2.59,2.63,"8,736,771.00","9,919.92","3,771,831,202.00"
VCX,Vicinity Centres,13/9/19,2.62,2.62,2.58,2.59,"10,795,396.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,16/9/19,2.56,2.585,2.55,2.58,"9,247,526.00","9,703.20","3,760,931,502.00"
VCX,Vicinity Centres,17/9/19,2.6,2.61,2.56,2.57,"9,650,260.00","9,665.59","3,760,931,502.00"
VCX,Vicinity Centres,18/9/19,2.57,2.59,2.555,2.56,"10,436,643.00","9,627.98","3,760,931,502.00"
VCX,Vicinity Centres,19/9/19,2.56,2.59,2.56,2.57,"20,516,657.00","9,665.59","3,760,931,502.00"
VCX,Vicinity Centres,20/9/19,2.56,2.6,2.55,2.55,"19,384,604.00","9,590.38","3,760,931,502.00"
VCX,Vicinity Centres,23/9/19,2.55,2.61,2.55,2.6,"9,556,967.00","9,778.42","3,760,931,502.00"
VCX,Vicinity Centres,24/9/19,2.59,2.62,2.58,2.59,"12,439,727.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,25/9/19,2.6,2.63,2.58,2.59,"7,208,923.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,26/9/19,2.6,2.61,2.57,2.59,"5,493,333.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,27/9/19,2.62,2.635,2.585,2.6,"4,524,152.00","9,778.42","3,760,931,502.00"
VCX,Vicinity Centres,30/9/19,2.6,2.61,2.57,2.57,"8,592,332.00","9,665.59","3,760,931,502.00"
VCX,Vicinity Centres,1/10/19,2.58,2.6,2.56,2.57,"9,634,313.00","9,665.59","3,760,931,502.00"
VCX,Vicinity Centres,2/10/19,2.57,2.61,2.56,2.6,"9,814,102.00","9,778.42","3,760,931,502.00"
VCX,Vicinity Centres,3/10/19,2.54,2.58,2.53,2.57,"6,298,214.00","9,665.59","3,760,931,502.00"
VCX,Vicinity Centres,4/10/19,2.56,2.575,2.54,2.54,"3,275,016.00","9,552.77","3,760,931,502.00"
VCX,Vicinity Centres,7/10/19,2.55,2.58,2.52,2.56,"4,759,381.00","9,627.98","3,760,931,502.00"
VCX,Vicinity Centres,8/10/19,2.57,2.61,2.57,2.61,"6,511,084.00","9,816.03","3,760,931,502.00"
VCX,Vicinity Centres,9/10/19,2.58,2.61,2.57,2.6,"6,226,935.00","9,778.42","3,760,931,502.00"
VCX,Vicinity Centres,10/10/19,2.59,2.615,2.58,2.59,"6,992,651.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,11/10/19,2.6,2.6,2.58,2.59,"3,520,796.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,14/10/19,2.59,2.61,2.58,2.59,"3,372,915.00","9,740.81","3,760,931,502.00"
VCX,Vicinity Centres,15/10/19,2.58,2.63,2.58,2.63,"4,435,129.00","9,891.25","3,760,931,502.00"
VCX,Vicinity Centres,16/10/19,2.64,2.64,2.61,2.62,"8,382,959.00","9,853.64","3,760,931,502.00"
VCX,Vicinity Centres,17/10/19,2.61,2.625,2.58,2.58,"8,074,879.00","9,703.20","3,760,931,502.00"
VCX,Vicinity Centres,18/10/19,2.56,2.57,2.54,2.56,"11,956,852.00","9,627.98","3,760,931,502.00"
VCX,Vicinity Centres,21/10/19,2.56,2.6,2.55,2.57,"9,567,855.00","9,665.59","3,760,931,502.00"
VCX,Vicinity Centres,22/10/19,2.58,2.635,2.57,2.62,"11,016,727.00","9,853.64","3,760,931,502.00"
VCX,Vicinity Centres,23/10/19,2.63,2.695,2.62,2.69,"9,046,919.00","10,116.91","3,760,931,502.00"
VCX,Vicinity Centres,24/10/19,2.7,2.7,2.65,2.65,"12,306,146.00","9,966.47","3,760,931,502.00"
VCX,Vicinity Centres,25/10/19,2.68,2.7,2.67,2.68,"6,272,877.00","10,079.30","3,760,931,502.00"
VCX,Vicinity Centres,28/10/19,2.68,2.7,2.67,2.67,"7,067,577.00","10,041.69","3,760,931,502.00"
VCX,Vicinity Centres,29/10/19,2.68,2.72,2.65,2.71,"14,685,185.00","10,192.12","3,760,931,502.00"
VCX,Vicinity Centres,30/10/19,2.69,2.715,2.66,2.66,"11,946,979.00","10,004.08","3,760,931,502.00"
VCX,Vicinity Centres,31/10/19,2.68,2.69,2.67,2.67,"11,733,416.00","10,041.69","3,760,931,502.00"
VCX,Vicinity Centres,1/11/19,2.65,2.69,2.65,2.69,"8,647,681.00","10,116.91","3,760,931,502.00"
VCX,Vicinity Centres,4/11/19,2.71,2.71,2.67,2.68,"6,084,142.00","10,079.30","3,760,931,502.00"
VCX,Vicinity Centres,5/11/19,2.71,2.71,2.655,2.66,"4,519,806.00","10,004.08","3,760,931,502.00"
VCX,Vicinity Centres,6/11/19,2.66,2.69,2.64,2.65,"7,399,651.00","9,966.47","3,760,931,502.00"
VCX,Vicinity Centres,7/11/19,2.64,2.67,2.63,2.65,"10,547,302.00","9,966.47","3,760,931,502.00"
VCX,Vicinity Centres,8/11/19,2.62,2.64,2.6,2.61,"7,512,948.00","9,816.03","3,760,931,502.00"
VCX,Vicinity Centres,11/11/19,2.62,2.65,2.61,2.65,"3,912,233.00","9,966.47","3,760,931,502.00"
VCX,Vicinity Centres,12/11/19,2.65,2.65,2.62,2.64,"7,901,894.00","9,928.86","3,760,931,502.00"
VCX,Vicinity Centres,13/11/19,2.62,2.65,2.59,2.6,"8,560,121.00","9,778.42","3,760,931,502.00"
VCX,Vicinity Centres,14/11/19,2.61,2.63,2.6,2.63,"6,190,779.00","9,891.25","3,760,931,502.00"
VCX,Vicinity Centres,15/11/19,2.64,2.69,2.64,2.68,"5,155,439.00","10,079.30","3,760,931,502.00"
VCX,Vicinity Centres,18/11/19,2.67,2.68,2.64,2.65,"5,804,826.00","9,966.47","3,760,931,502.00"
VCX,Vicinity Centres,19/11/19,2.67,2.69,2.65,2.69,"7,120,195.00","10,116.91","3,760,931,502.00"
