ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
XRO,Xero Limited,13/8/19,61.66,62.84,61.25,62.04,"206,721.00","8,765.35","141,285,403.00"
XRO,Xero Limited,14/8/19,62.9,63.67,62.395,62.59,"292,266.00","8,843.05","141,285,403.00"
XRO,Xero Limited,15/8/19,60.62,61.38,59.7,60.41,"342,906.00","8,535.72","141,296,403.00"
XRO,Xero Limited,16/8/19,59.5,60.56,59.21,60,"273,525.00","8,477.78","141,296,403.00"
XRO,Xero Limited,19/8/19,60.5,62,60.13,62,"326,928.00","8,760.38","141,296,403.00"
XRO,Xero Limited,20/8/19,61.74,62.63,60.57,62.51,"324,690.00","8,832.44","141,296,403.00"
XRO,Xero Limited,21/8/19,62.47,62.7,61.3,62.61,"211,963.00","8,846.57","141,296,403.00"
XRO,Xero Limited,22/8/19,63,63.51,62.21,62.43,"216,687.00","8,821.13","141,296,403.00"
XRO,Xero Limited,23/8/19,62.77,63.31,61.36,61.58,"169,671.00","8,703.77","141,340,933.00"
XRO,Xero Limited,26/8/19,60.01,60.74,59.01,60.51,"293,787.00","8,552.54","141,340,933.00"
XRO,Xero Limited,27/8/19,60.92,61.97,60.55,61.49,"250,418.00","8,691.05","141,340,933.00"
XRO,Xero Limited,28/8/19,61.27,63,61.16,62.81,"275,273.00","8,877.62","141,340,933.00"
XRO,Xero Limited,29/8/19,62.97,62.99,61.65,62.15,"673,716.00","8,784.34","141,340,933.00"
XRO,Xero Limited,30/8/19,62.55,63.56,62.43,63.47,"367,005.00","8,970.91","141,340,933.00"
XRO,Xero Limited,2/9/19,63.5,63.65,62.95,63.35,"261,267.00","8,955.98","141,373,072.00"
XRO,Xero Limited,3/9/19,62.64,63.35,62.53,62.79,"155,650.00","8,876.82","141,373,072.00"
XRO,Xero Limited,4/9/19,62.33,62.88,61.72,62.82,"323,636.00","8,881.06","141,373,072.00"
XRO,Xero Limited,5/9/19,63.3,65.45,62.68,65.01,"445,261.00","9,190.66","141,373,072.00"
XRO,Xero Limited,6/9/19,65.65,68.15,65.65,66.5,"470,706.00","9,401.31","141,373,083.00"
XRO,Xero Limited,9/9/19,66.73,68.88,66.43,67.01,"308,084.00","9,473.41","141,373,083.00"
XRO,Xero Limited,10/9/19,65.91,66.03,65.22,65.69,"593,357.00","9,286.80","141,373,083.00"
XRO,Xero Limited,11/9/19,64.75,64.8,62.8,63.55,"613,303.00","8,984.26","141,373,083.00"
XRO,Xero Limited,12/9/19,64.7,64.72,62.21,62.43,"303,397.00","8,825.92","141,373,083.00"
XRO,Xero Limited,13/9/19,63.88,64.06,61.84,62.15,"469,286.00","8,786.34","141,373,134.00"
XRO,Xero Limited,16/9/19,62.77,62.81,60.82,61.16,"365,274.00","8,646.38","141,373,134.00"
XRO,Xero Limited,17/9/19,61.78,62.8,61.15,62.65,"277,881.00","8,857.03","141,373,134.00"
XRO,Xero Limited,18/9/19,63.44,64.07,62.18,62.3,"366,268.00","8,807.55","141,373,134.00"
XRO,Xero Limited,19/9/19,62.93,63.95,62.6,63.06,"478,177.00","8,914.99","141,373,134.00"
XRO,Xero Limited,20/9/19,64.15,65.24,63.655,63.8,"339,205.00","9,019.61","141,373,134.00"
XRO,Xero Limited,23/9/19,64.77,65.92,64.61,65.6,"369,450.00","9,274.08","141,373,134.00"
XRO,Xero Limited,24/9/19,65.7,66.83,64.93,66.15,"447,678.00","9,351.83","141,373,134.00"
XRO,Xero Limited,25/9/19,65.4,66.2,64.51,64.74,"894,771.00","9,152.50","141,373,134.00"
XRO,Xero Limited,26/9/19,65.42,65.42,63.21,63.31,"428,529.00","8,950.34","141,373,182.00"
XRO,Xero Limited,27/9/19,63.94,64.25,63.1,63.35,"216,981.00","8,955.99","141,373,182.00"
XRO,Xero Limited,30/9/19,63,63.31,61.92,62.29,"477,991.00","8,806.14","141,373,182.00"
XRO,Xero Limited,1/10/19,62.3,63.82,61.96,63.82,"337,761.00","9,022.44","141,373,182.00"
XRO,Xero Limited,2/10/19,62.5,63.19,61.44,61.77,"394,059.00","8,732.62","141,373,182.00"
XRO,Xero Limited,3/10/19,60.38,61.22,60.05,60.39,"652,089.00","8,537.53","141,373,182.00"
XRO,Xero Limited,4/10/19,61.01,62.49,61.01,62.3,"417,264.00","8,807.55","141,373,182.00"
XRO,Xero Limited,7/10/19,62.66,63.39,62.5,63.08,"194,474.00","8,917.82","141,373,182.00"
XRO,Xero Limited,8/10/19,63.94,64.59,63.05,63.99,"285,089.00","9,046.57","141,374,692.00"
XRO,Xero Limited,9/10/19,62.45,65.13,62.42,64.78,"470,170.00","9,158.25","141,374,692.00"
XRO,Xero Limited,10/10/19,64.73,65.82,64.2,64.69,"386,219.00","9,145.53","141,374,692.00"
XRO,Xero Limited,11/10/19,65.82,66.91,65.63,66.91,"604,913.00","9,459.38","141,374,692.00"
XRO,Xero Limited,14/10/19,67.31,68.56,67.13,67.69,"290,277.00","9,569.65","141,374,692.00"
XRO,Xero Limited,15/10/19,67.82,68.83,67.37,68.53,"357,338.00","9,688.41","141,374,692.00"
XRO,Xero Limited,16/10/19,69,70.53,69,70.14,"524,000.00","9,916.02","141,374,692.00"
XRO,Xero Limited,17/10/19,70,70.8,69.27,69.38,"426,825.00","9,808.58","141,374,692.00"
XRO,Xero Limited,18/10/19,68.88,70.2,68.88,69.86,"1,000,710.00","9,876.44","141,374,692.00"
XRO,Xero Limited,21/10/19,68.5,69.09,67.78,68.7,"520,896.00","9,712.44","141,374,692.00"
XRO,Xero Limited,22/10/19,68.83,69.68,68.25,68.25,"373,169.00","9,648.82","141,374,692.00"
XRO,Xero Limited,23/10/19,66.81,66.81,65,66.1,"804,054.00","9,344.87","141,374,692.00"
XRO,Xero Limited,24/10/19,66.95,67.18,65.3,65.66,"386,280.00","9,282.66","141,374,692.00"
XRO,Xero Limited,25/10/19,66.49,67.535,66.25,67,"329,021.00","9,472.10","141,374,692.00"
XRO,Xero Limited,28/10/19,67.22,67.68,66.81,66.93,"332,478.00","9,462.21","141,374,692.00"
XRO,Xero Limited,29/10/19,68,69.08,67.78,68.72,"238,316.00","9,715.27","141,374,692.00"
XRO,Xero Limited,30/10/19,68.5,69.45,68.01,68.9,"370,705.00","9,740.72","141,374,692.00"
XRO,Xero Limited,31/10/19,69.07,70,67.96,68.99,"337,135.00","9,753.44","141,374,692.00"
XRO,Xero Limited,1/11/19,68.72,70.04,67.95,69.91,"507,229.00","9,883.50","141,374,692.00"
XRO,Xero Limited,4/11/19,70,71.32,68.86,69.06,"539,644.00","9,764.23","141,387,601.00"
